key,text,english,notes,tag,checked,checked_by,date,link,google,chatgpt,gemini,claude,deepl
version,6.08,6.08, ,float,True, , , , , , , , 
pdf_title,6000 سال انسانی تاریخ کا تصور,"6,000 Years of Human History — A Timeline",2026-08-26,text,False, , , , ,"6,000 سال کی انسانی تاریخ — ایک ٹائم لائن", , ,"انسانیت کی تاریخ کے 6,000 سال — ایک زمانی خاکہ"
pdf_subject,انسانیت کی ٹائم لائن,Timeline of human history from 4000 BCE to present, ,text,False, , , , ,4000 قبل مسیح سے حال تک انسانی تاریخ کا ٹائم لائن, , ,4000 قبل مسیح سے موجودہ وقت تک انسانی تاریخ کا زمانی خاکہ
BCE,بی سی ای,B.C.E., ,B9,True, , , , , , , , 
CE,سی۔ای۔,C.E., ,B9,True, , , , , , , , 
month,مہینہ,month, ,text,False, , , , ,مہینہ, , ,ماہ
months,مہینے,months, ,text,False, , , , ,مہینے, , ,مہینے
day,دن,day, ,text,False, , , , ,دن, , ,دن
days,دن,days, ,text,False, , , , ,دن, , ,دن
to,کو,to, ,text,False, , , , ,سے, , ,کی طرف
Deluge,سیلاب,Deluge, ,text,False, , , , ,طوفان نوح, , ,سیلاب
moses2,1593 سے 1473 قبل مسیح - 120 سال,1593 to 1473 B.C.E. – 120 years, ,text,False, , , , ,1593 سے 1473 قبل مسیح – 120 سال, , ,1593 قبل مسیح سے 1473 قبل مسیح تک – 120 سال
temple1,نیسان 1513 قبل مسیح زیو سے 1034 قبل مسیح,Nisan 1513 B.C.E. to Ziv 1034 B.C.E., ,text,False, , , , ,نیسان 1513 قبل مسیح سے زیو 1034 قبل مسیح تک, , ,نسان 1513 قبل مسیح سے زِیو 1034 قبل مسیح تک
69weeks,یسوع نے خزاں 29 عیسوی میں بپتسمہ دیا۔,Jesus baptized autumn 29 C.E., ,text,False, , , , ,عیسیٰ کا بپتسمہ خزاں 29 عیسوی میں, , ,یسوع نے 29 عیسوی کے خزاں میں بپتسمہ دیا۔
year,سال,year,"timespan, age (Adam was 130 years old when Shem was born)",text,True, , , , ,سال, , ,سال
years,سال,years, ,text,False, , , , ,سال, , ,سال
years_age,سال,years,"years when used as age for a person (different word than years in some languages), like he is 23 years old",text,False, , , , ,سال, , ,سال
age_kings, , ,"if the word ""year"" appears after the numeral, like ""at the age of 35 years""",text,False, , , , , , , , 
wilderness,بیابان میں اسرائیل 1513 سے 1473 قبل مسیح - 40 سال,Israel in the wilderness 1513 to 1473 B.C.E. – 40 years, ,text,False, , , , ,اسرائیل بیابان میں 1513 سے 1473 قبل مسیح – 40 سال, , ,جنگل میں اسرائیل 1513 سے 1473 قبل مسیح – 40 سال
timespan_judges,1473 سے 1117 قبل مسیح - 356 سال,1473 to 1117 B.C.E. – 356 years, ,text,False, , , , ,1473 سے 1117 قبل مسیح – 356 سال, , ,1473 قبل مسیح سے 1117 قبل مسیح تک – ۳۵۶ سال
timespan_judges2,ججوں کا وقت,Time of the judges, ,text,False, , , , ,قاضیوں کا زمانہ, , ,ججوں کا وقت
temple2,ہیکل کی تعمیر تک 479 سال – 1 کنگز 6:1,479 years until the temple construction – 1 Kings 6:1,1034 BCE,text,False, , , , ,ہیکل کی تعمیر تک 479 سال – 1 سلاطین 6:1, , ,مندر کی تعمیر تک ۴۷۹ سال باقی ہیں – ۱ بادشاہوں ۶:۱
69weeks2,مسیحا کے لیے 69 ہفتے – ڈینیل 9:25,69 weeks to the Messiah – Daniel 9:25, ,text,False, , , , ,مسیح تک 69 ہفتے – دانیال 9:25, , ,مسیح کے لیے 69 ہفتے – دانیال 9:25
jesus_service,یسوع کی خدمت کے 3.5 سال، 14 نیسان، 33 عیسوی کو پھانسی دی گئی۔,"3.5 years of Jesus service, executed Nisan 14th, 33 C.E.", ,text,False, , , , ,عیسیٰ کی خدمت کے 3.5 سال، نیسان 14، 33 عیسوی کو پھانسی, , ,یسوع کی خدمت کے ۳.۵ سال، ۳۳ عیسوی کے نسان کی چودہ تاریخ کو پھانسی دی گئی۔
jesus_life,یسوع کی پیدائش 2 قبل مسیح,Jesus born 2 B.C.E., ,text,False, , , , ,عیسیٰ 2 قبل مسیح میں پیدا ہوئے, , ,عیسیٰ دو قبل مسیح پیدا ہوئے۔
exile,607 سے 537 قبل مسیح – 70 سال (یرمیاہ 25:11),607 to 537 B.C.E. – 70 years (Jeremiah 25:11), ,text,False, , , , ,607 سے 537 قبل مسیح – 70 سال (یرمیاہ 25:11), , ,۶۰۷ قبل از مسیح سے ۵۳۷ قبل از مسیح تک – ۷۰ سال (یرمیاہ ۲۵:۱۱)
exile2,جلاوطنی,Exile, ,text,False, , , , ,جلاوطنی, , ,جلاوطن
7times2,7 بار - مسیحی بادشاہت سے 2520 سال 1914 عیسوی (دانیال 4:23),7 times – 2520 years to the Messianic Kingdom 1914 C.E. (Daniel 4:23), ,text,False, , , , ,مسیائی بادشاہی 1914 عیسوی تک 7 وقت – 2520 سال (دانیال 4:23), , ,سات مرتبہ – مسیحی بادشاہی تک 2520 سال 1914 عیسوی (دانیال 4:23)
ww1,جنگ عظیم اول - 1914-1918 عیسوی,World War I – 1914–1918, ,text,False, , , , ,پہلی جنگ عظیم – 1914–1918, , ,پہلی جنگِ عظیم – 1914–1918
ww2,دوسری جنگ عظیم - 1939-1945 عیسوی,World War II – 1939–1945, ,text,False, , , , ,دوسری جنگ عظیم – 1939–1945, , ,دوسری جنگ عظیم – 1939–1945
30_year_war,یورپ میں تیس سالہ جنگ 1618-1648,Thirty Years' War in Europe 1618-1648, ,text,False, , , , ,یورپ میں تیس سالہ جنگ 1618-1648, , ,یورپ میں تیس سالہ جنگ 1618-1648
joshua,110 سال,110 years, ,text,False, , , , ,110 سال, , ,ایک سو دس سال
caleb,85 سال سے زیادہ,more than 85 years, ,text,False, , , , ,85 سال سے زیادہ, , ,پچھاسی سال سے زیادہ
missionary1,پال کا پہلا مشنری سفر، سی۔ برناباس اور جان مارک کے ساتھ 47-48 عیسوی,"First Missionary Journey of Paul, c. 47-48 C.E. with Barnabas and John Mark", ,text,False, , , , ,پولس کا پہلا مشنری سفر، تقریباً 47-48 عیسوی، برنباس اور یوحنا مرقس کے ساتھ, , ,پولس کا پہلا تبلیغی سفر، تقریباً ۴۷–۴۸ عیسوی، برناباس اور یوحنا مرقس کے ساتھ
circumcision,انطاکیہ میں ختنہ کا مسئلہ، یروشلم میں کانفرنس c. 49 عیسوی,"Circumcision issue at Antioch, conference in Jerusalem c. 49 C.E.", ,text,False, , , , ,انطاکیہ میں ختنہ کا مسئلہ، یروشلیم میں کانفرنس تقریباً 49 عیسوی, , ,انطاکیہ میں ختنه کا مسئلہ، تقریباً 49 عیسوی میں یروشلم میں کانفرنس۔
missionary2,دوسرا مشنری سفر ج. 49-52 عیسوی میں سیلاس (سلوانس) کے ساتھ,Second Missionary Journey c. 49-52 C.E with Silas (Silvanus), ,text,False, , , , ,دوسرا مشنری سفر تقریباً 49-52 عیسوی، سیلاس (سلوانس) کے ساتھ, , ,دوسرا مبلغانہ سفر تقریباً ۴۹–۵۲ عیسوی، سیلَس (سیلوانَس) کے ساتھ
missionary3,تیسرا مشنری سفر 52-56 عیسوی,Third Missionary Journey c. 52-56 C.E., ,text,False, , , , ,تیسرا مشنری سفر تقریباً 52-56 عیسوی, , ,تیسری مبلغانہ مہم تقریباً ۵۲–۵۶ عیسوی
caesarea,پولس قیصریہ میں زیر حراست c. 56-58 عیسوی,Paul in custody in Caesarea c. 56-58 C.E., ,text,False, , , , ,قیصریہ میں پولس کی حراست تقریباً 56-58 عیسوی, , ,پولس تقریباً 56–58 عیسوی میں قیصریہ میں حراست میں۔
rome1,روم میں پولس کی پہلی قید 59-61 عیسوی میں ہوئی۔,Paul’s first imprisonment in Rome c. 59-61 C.E., ,text,False, , , , ,روم میں پولس کی پہلی قید تقریباً 59-61 عیسوی, , ,پولس کی روم میں پہلی قید تقریباً ۵۹–۶۱ عیسوی میں
rome2,روم میں پولس کی دوسری قید c. 65 عیسوی، 2 تیمتھیس نے لکھا، پال کو پھانسی دی گئی۔,"Paul’s second imprisonment in Rome c. 65 C.E., 2 Timothy written, Paul executed", ,text,False, , , , ,روم میں پولس کی دوسری قید تقریباً 65 عیسوی، 2 تیمتھیس لکھی گئی، پولس کو پھانسی دی گئی, , ,پولس کی روم میں دوسری قید تقریباً 65 عیسوی میں، دوم تیموتاؤس لکھا گیا، پولس کو پھانسی دی گئی۔
event_exodus,14 نیسان 1513 قبل مسیح کو مصر سے خروج,"Exodus from Egypt on Nisan 14th, 1513 B.C.E.", ,text,False, , , , ,نیسان 14، 1513 قبل مسیح کو مصر سے خروج, , ,مصر سے خروج، نسان کی چودہویں تاریخ، ۱۵۱۳ قبل مسیح
event_division_kingdom,اسرائیل کی تقسیم 997 قبل مسیح,Division of Israel 997 BCE, ,text,False, , , , ,997 قبل مسیح میں اسرائیل کی تقسیم, , ,اسرائیل کی تقسیم ۹۹۷ قبل مسیح
